Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
640,,Wilburn,Upchurch,2000-08-13,Left,71166.0,468.662131151173,2.6216392728162488,-4.686621311511731,7.557,-770.7917160225151,361.7148151149077,4.612022240333223,1085.9680783416393,3.855088814665856,0.8479681528383971,-245.44295,-89.98
641,,Kenya,Cole,1998-09-22,Right,42421.0,-626.4249286133954,-5.458226015964353,6.264249286133954,-5.125,-541.9516975699547,377.86845147094056,5.845721699102322,1056.2765059853011,9.91535839191785,1.6166823442841154,-248.8895,-89.67
642,,Kylie,Duval,1996-12-25,Left,24911.0,-556.7778640709257,-5.6288093088624525,5.567778640709257,-6.771,-571.6907843979664,386.0862370009991,4.607957880376283,1082.313193867432,13.35871982867391,0.2511220883554159,-249.80257000000003,-55.75
643,,Jerry,Gunn,1999-11-29,Left,49925.0,-546.9660940919433,8.46534045279428,5.469660940919434,4.314,238.35461080304785,559.0539082301991,5.129960929414732,1034.5554805869042,4.471265917531918,-0.4210273365901753,-230.29871,21.18
644,,Alison,Battaglia,1999-06-22,Left,71906.0,,0.9754097870201824,-2.7010380121697986,8.263,-790.1616736068805,452.9641247185565,5.981336374519793,1079.92738306355,7.716706319302482,0.0114875402250576,-242.69098,-78.73
645,,Carmella,Ennis,2000-05-01,Right,49428.0,-434.1532577188056,-5.446190500612492,4.341532577188056,-3.588,-560.415171181306,416.6197079107144,4.613739351852956,1061.0252030995698,10.39358789138034,1.2438116655213722,-249.52287,-69.05
646,,Rodney,Bradford,2001-03-17,Left,46328.0,720.2056186494337,4.424230689678133,-7.202056186494337,3.37,-607.4074709946888,411.1788456930316,1.11806423390283,1061.664535251106,5.699577606423532,0.2774149807870217,-248.83615,54.11
647,,Tena,Holden,1999-03-18,Right,55393.0,370.04872768558266,4.25731445258506,-3.700487276855825,5.797999999999999,-547.3557302895891,446.6533996565047,4.459890313943668,1050.2927856896554,5.684788454827096,1.2471362115457534,-243.04501,1.77
648,,Darren,Gilbert,1999-12-03,Right,73111.0,206.2341293390876,6.199773691417855,-2.062341293390876,2.507,-576.0468157206502,454.5897160029713,3.8297122110568806,1051.2051616743329,5.195964324403472,0.4089873057330345,-244.22012,9.86
649,,Olin,Sewell,1998-01-17,Right,49594.0,-435.81309910426734,-4.125073593497643,4.358130991042674,-5.436,-600.829589536904,403.05219528287097,4.484836799474904,1056.3065328910088,10.169190296201776,1.1710086669387685,-250.5597,-51.72
650,,Liz,Treadway,1997-12-18,Right,31416.0,-600.6628289089797,-4.228617664564094,6.0066282890897975,-5.06,-612.0283668804631,382.46162639904816,5.524150362404399,1061.816175335879,,-0.9715763749001982,-247.79735,-60.47
651,,Lynwood,Labelle,2001-11-03,Right,42842.0,-536.5456380694878,-6.438031629241617,5.365456380694878,-6.269,-526.6593151792426,372.5610022681232,,1067.9309256260754,11.249734863875306,1.3933748555818155,-251.10348,-94.97
652,,Cristy,Pardo,1999-09-01,Right,74932.0,488.90537458725953,4.797673467781672,-4.889053745872594,9.209,-982.6816811140905,422.4493898931785,0.2231426285568254,1090.4901430088175,2.5805842454088026,-0.6157751807591183,-244.32114,-7.34
653,,Benita,Mcclain,1998-07-14,Left,47009.0,-487.6472406430954,-3.945846798075228,4.8764724064309535,-2.857,-374.9901802820738,460.5686289828995,4.436194144266293,1027.93109640144,8.743239973386332,0.3118573394470531,-247.02865,-25.72
654,,Brianna,Shaw,2001-05-20,Right,10162.0,-573.2050160678667,3.5012559207605345,5.732050160678668,,461.932686303456,558.7690436097363,3.2935932280320634,1063.8225551635385,8.394131648071294,-1.3518647858661288,-230.90832000000003,30.52
655,,Ella,Schreiber,1998-09-09,Left,43624.0,496.9096577792111,5.302900670696131,-4.969096577792112,3.43,-335.74334714857895,399.5805919112912,5.395146226609231,1034.8239297797263,4.959802599235509,-0.3663547194783377,-244.72465,9.73
656,,Garland,Inman,2001-04-09,Right,60930.0,-697.2616601399992,6.177718869726896,6.972616601399992,3.679,273.7552568697461,587.2787004147419,5.917612213421919,1043.2236205523925,6.343872979157991,0.982656445926748,-230.6652,-14.57
657,,Yesenia,Burchfield,1997-09-30,Left,45611.0,347.8291683172313,-6.580078768169696,-3.478291683172313,4.513999999999999,-634.7000530457957,549.628687921821,-4.8647785605493885,943.2112202474734,1.2678207620657451,0.909103303054964,-253.85141,166.56
658,,Kurtis,Mcnamara,2000-01-19,Left,64436.0,676.2098469825157,-4.985534386257685,-6.7620984698251565,4.4430000000000005,-304.08092064505763,636.7725729199635,-4.002241484219714,942.2067876592693,3.973112523359828,-0.9457900158815736,-254.40467,184.77
659,,Charlie,Dugan,2001-08-15,Right,17747.0,532.6000365074971,7.4692085632446625,-5.326000365074969,3.201,-222.22586481586853,373.8662765419592,5.173792142418375,1018.6768338307982,3.772180299463664,0.4310667732179694,-242.85527,56.97
660,,Richelle,Graf,1998-08-09,Left,23236.0,-741.8085100269913,-3.2532510909291474,7.418085100269913,-4.647,-544.466580864913,356.48174410259315,3.2761778872718628,1076.073799715202,8.434829103573433,-0.4666070916042761,-245.9952,-54.76
661,,Brice,Vail,2000-05-06,Left,65642.0,559.8076464766841,5.393921152249536,-5.598076464766841,4.895,-487.09595532688905,385.18897966598473,4.6388062688321146,1053.4270708887127,,-0.3498050148478849,-245.80006,-28.21
662,,Eleanore,Hartley,1998-07-20,Right,19873.0,-627.331020621663,-5.954995668732468,6.27331020621663,-4.103,-526.5843186632976,385.75632072583846,6.746358330459517,1066.1141938488922,12.527760667514048,1.3597127809248633,-246.48559,-79.78
663,,Antoine,Murdock,2001-06-01,Left,62891.0,-363.88647468029967,7.874109797738187,3.6388647468029975,7.207000000000002,465.9940228667504,617.5158954365752,4.475015133319948,1058.6051702159095,5.637478668747183,0.7420828531971146,-229.10397000000003,1.18
664,,Claudette,Gann,2000-05-12,Left,64120.0,-647.4102422140397,6.290895032598237,6.474102422140398,4.955,,593.8482503762888,5.623257764291181,,5.312000952403691,-1.0365143591061297,-230.08106,-17.83
665,,Kirby,Riley,1998-11-08,Right,40972.0,491.7967362826101,7.3378057090708015,-4.917967362826102,4.013,-221.73444019498717,314.30122353349253,3.157241122536965,1033.1252943599147,-1.3723146549219716,1.4801642380843236,-244.57147,0.01
666,,Pierre,Higdon,1998-01-12,Left,46490.0,-610.0493304427763,-2.7735255710188844,6.100493304427763,-3.956,-580.780333869084,399.0583963784719,4.0074578599242185,1047.2733977926102,7.528542014779525,-1.5266077561794351,-247.29526,-45.79
667,,Leilani,Crisp,1997-09-21,Left,15925.0,805.5828429627393,5.3393145640437565,-8.055828429627391,6.095,-350.6845090004988,360.1666549283948,6.930188347140975,1035.5422981498727,5.953794294414449,1.3509781903314233,-243.65732000000003,14.97
668,,Michale,Langlois,2001-06-07,Left,69160.0,300.5496934715618,2.5385916322719044,-3.0054969347156177,6.721,-852.6869054470523,428.7513123939876,3.6613015818290418,1085.144537606985,6.228572385470357,,-244.24317,-44.97
669,,Lulu,Winn,2000-11-09,Left,51016.0,519.6336699237465,5.5710923216128005,-5.196336699237465,2.9130000000000003,-447.3160849717384,390.076785844714,3.303454286328364,1046.3670080512795,3.895100152578852,-0.278073777080386,-246.50257,18.86
670,,Vilma,Zhang,2000-06-27,Right,37931.0,535.1601892101503,-7.0815545700817575,-5.351601892101503,4.438,-130.31867889967864,563.0920991308752,-2.861766947127544,943.2612428637524,3.0506932882352022,-0.4660175989325756,-253.23259,143.98
671,,Keenan,Buckner,1997-07-01,Right,53787.0,723.7388468376141,-3.2732257343677027,-7.237388468376143,4.066,-832.3290437780313,641.5758991739306,-6.005476276179028,954.5156571418544,5.712510565530764,-0.4312090356992633,-255.12801,254.99
672,,Kellie,Fritz,1998-10-06,Right,53395.0,-343.0977978015072,-5.1487392895245945,3.4309779780150715,-6.393,-353.619315283786,450.7896991195372,2.8694360852473,1049.6197726058592,10.710599833681655,0.2773780375284912,-252.33416,-23.7
673,,Trevor,Durand,1999-05-07,Right,61337.0,-584.6479623812128,4.349408073146609,5.846479623812125,4.538,645.5853773354968,569.4155603033925,6.486624825351617,1051.9218862589594,5.782638162422018,-0.906531022485688,-231.08352,-65.11
674,,Ahmad,Garner,1999-03-30,Right,56496.0,310.32224751040525,,-3.1032224751040527,4.953,-790.5803237675335,471.7597163030389,0.178409174262117,1059.398604125609,4.176317887527773,1.6695012771597906,-242.59176,86.55
675,,Sherwood,Drake,2001-04-12,Right,8293.0,-300.0700123151555,7.809491453853131,3.000700123151555,5.385,387.9607275437576,555.7650677511333,6.9725435138541565,1077.178479707194,10.989025835481437,0.396915080278244,-227.86382000000003,23.51
676,,Harriett,Esquivel,2000-01-30,Left,48872.0,449.8728586408032,4.680708651472943,-4.498728586408031,4.423,-455.5246544787787,373.3932091219437,7.887535446111768,1048.465806694229,5.960426169565697,0.7762841240988839,-243.78293,-48.94
677,,Cherie,Payne,1999-12-02,Right,39887.0,542.1615787269393,-5.519751078273735,-5.421615787269393,4.583,-618.9237072197554,579.5418493727008,-5.110191674555249,938.7835423272188,2.7592838555389463,-1.8147903955283708,-254.13693,209.09
678,,Richie,Darnell,1999-10-15,Left,44348.0,-493.8838976488537,4.031818167273793,4.938838976488537,5.164,469.8370629881532,582.2461673650957,4.794499333607458,1059.369843967149,7.293924054070565,-0.1317478196952138,-231.29002000000003,-16.27
679,,Elden,Kauffman,1999-11-30,Left,34812.0,646.6169347557127,3.575001143879541,-6.466169347557128,6.171,-374.5873043331698,383.492673633032,5.8915226611317895,1043.7390506756292,5.405200239351403,-1.0666619382709928,-244.38415,-12.89
680,,Henry,Wahl,1998-06-27,Left,56510.0,-484.6402735627207,-5.603982452717737,4.846402735627208,-7.789,-514.4701471595192,366.7062468814712,3.977595223599608,1066.7627199486622,9.651713901477796,-1.0645013298337445,-253.58495,-85.86
681,,Corrine,Howland,2000-12-06,Left,58642.0,-439.3930493370409,-4.47576553532044,4.393930493370409,-5.0760000000000005,-362.893732922092,442.45117990695184,3.2260671932566427,1037.6718681230395,8.370442210315469,-1.4924039581227004,-250.6176,-36.15
682,,Noble,Criswell,1997-03-01,Left,51745.0,-535.2110603962194,2.996279391284621,5.352110603962193,5.171,607.3034601423052,598.498108996892,5.70029472588153,1055.2194357577516,7.595966433895907,0.1754770217519526,-231.19143,-40.32
683,,Ruth,Shackelford,1997-08-15,Right,45826.0,532.8517360302609,7.222445111940154,-5.328517360302609,4.882,-313.80965211941015,352.5459248957926,5.893877260521251,1035.6586287188998,2.0180907829695096,1.3099242059309006,-243.25735,-15.2
684,,Maynard,Rash,1997-09-12,Right,23903.0,-653.9460906987357,3.8271254361697538,6.539460906987356,3.851,676.2706703603078,620.7270662122747,4.803184635856646,1080.4673764696631,11.133731508587804,0.1191296587823141,-228.55624,3.07
685,,Mina,Belanger,2000-01-25,Right,42907.0,-568.8396991849937,-1.010892414801944,5.688396991849937,-5.009,-529.1362678401001,413.1300979030377,2.239366049280981,1043.3908375609074,6.931681478712022,-0.7704994257322363,-247.53932000000003,2.07
686,,Garfield,Leal,2000-06-03,Left,59657.0,-437.7623369360339,-4.5865216042910095,4.37762336936034,-5.462999999999999,-591.3094255895135,387.8066367630008,2.4781641976648188,1074.6483689456718,8.643579870144432,0.8291659958588807,-251.99481,-68.87
